"location_id","mapvar","location_name"
6,2,"China"
12,1,"Lao People's Democratic Republic"
45,1,"Bulgaria"
52,1,"Romania"
67,1,"Japan"
68,1,"Republic of Korea"
71,4,"Australia"
72,1,"New Zealand"
76,1,"Belgium"
79,1,"Finland"
80,1,"France"
81,1,"Germany"
84,1,"Ireland"
85,1,"Israel"
86,1,"Italy"
89,5,"Netherlands"
91,1,"Portugal"
92,2,"Spain"
93,1,"Sweden"
97,1,"Argentina"
101,2,"Canada"
102,3,"United States of America"
123,1,"Peru"
125,1,"Colombia"
130,1,"Mexico"
135,2,"Brazil"
143,1,"Iraq"
146,1,"Lebanon"
152,1,"Saudi Arabia"
196,1,"South Africa"
214,1,"Nigeria"
